link,src,title,author,LInk a ser utilizado
http://aand.tech/me/14-manmac.html,https://esperanc.github.io/GaleriaPCD/images/man-machine.jpg,man += machine,Alexandre Andrada,baixar do drive ir para youtube
https://abav.lugaralgum.com/selected-work/recursive-grid/,https://esperanc.github.io/GaleriaPCD/images/recursive-grid.png,grade recursiva 2021_01_21,Alexandre Barrozo do Amaral Villares,"testar na galeria, obra interativo ou pedir imagem"
http://www.andreburnier.com/marcacos,https://esperanc.github.io/GaleriaPCD/images/marcacos.png,Marcacos,André Fernando Garcia Burnier,"testar na galeria, obra interativo ou pedir imagem"
http://www.andreburnier.com/designerBots/,https://esperanc.github.io/GaleriaPCD/images/designer-bots.png,Designer Bots,André Fernando Garcia Burnier,"testar na galeria, obra interativo ou pedir imagem"
https://drive.google.com/file/d/1hYzwYZPFpg5jvcpc9wnDlDVN2Q0moYHp/view?usp=sharing,https://esperanc.github.io/GaleriaPCD/images/croche-digital.png,Crochê Digital,André Luiz Silva,baixar do drive ir para youtube
https://www.behance.net/gallery/111499993/Black-October-Book,https://esperanc.github.io/GaleriaPCD/images/black-october-book.png,"Black Book October, Generative Drawings",Antonio Jose dos Santos Coelho,pedir video para artista
https://www.youtube.com/watch?v=kZrkrIXOLno,https://esperanc.github.io/GaleriaPCD/images/preamar.png,Preamar,Barbara Pires e Castro,https://www.youtube.com/watch?v=kZrkrIXOLno
https://www.instagram.com/p/B9pXQVfJWFe/,https://esperanc.github.io/GaleriaPCD/images/virus-viral.png,Virus Viral,Camila Pastor da Costa,pedir video para artista
https://www.instagram.com/p/CCUNHcMJTgG/,https://esperanc.github.io/GaleriaPCD/images/yemanja.png,Yemanjá,Camila Pastor da Costa,pedir video para artista
https://www.youtube.com/watch?v=KITeJqusRNc,https://esperanc.github.io/GaleriaPCD/images/rodada.png,Rodadá (Camila Costa/Cid Campos),Camila Pastor da Costa,https://www.youtube.com/watch?v=KITeJqusRNc
https://openprocessing.org/sketch/1116518,https://esperanc.github.io/GaleriaPCD/images/beautiful-bug.png,Beautiful Bug,Carlos de Oliveira Junior,"testar na galeria, obra interativo ou pedir imagem"
