"link","src","title"
"https://showcase.p5js.org/#/2020-All/project-1/","https://showcase.p5js.org//static/media/1.1b8d21d8.png","ProtestKor.pe,<em>Aisha Jandosova, Kuat Abeshev, Jeffrey Yoo Warren, Irina Mednikova</em>"
"https://showcase.p5js.org/#/2020-All/project-2/","https://showcase.p5js.org//static/media/2.419d2e19.png","Plastic Sweeper,<em>Aditya De</em>"
"https://showcase.p5js.org/#/2020-All/project-3/","https://showcase.p5js.org//static/media/3.2d08cee6.png","youtube.nextnextnext.video,<em>Jungsue Park</em>"
"https://showcase.p5js.org/#/2020-All/project-4/","https://showcase.p5js.org//static/media/4.84d454f7.png","Bezier Lion Mask,<em>sosunny</em>"
"https://showcase.p5js.org/#/2020-All/project-5/","https://showcase.p5js.org//static/media/5.eb8a9b9f.png","Cyberflowers,<em>JPL</em>"
"https://showcase.p5js.org/#/2020-All/project-6/","https://showcase.p5js.org//static/media/6.6e26f440.png","mouseText,<em>Hannah</em>"
"https://showcase.p5js.org/#/2020-All/project-7/","https://showcase.p5js.org//static/media/7.cd69a448.png","Cozy Coding,<em>Aren Davey</em>"
"https://showcase.p5js.org/#/2020-All/project-8/","https://showcase.p5js.org//static/media/8.d393e537.png","Love Maze,<em>Vince Nguyen</em>"
"https://showcase.p5js.org/#/2020-All/project-9/","https://showcase.p5js.org//static/media/9.ad49799e.png","The Fractal Zone,<em>Summer Rizzo</em>"
"https://showcase.p5js.org/#/2020-All/project-10/","https://showcase.p5js.org//static/media/10.162789b6.png","Let the music play!,<em>Dan Ran</em>"
"https://showcase.p5js.org/#/2020-All/project-11/","https://showcase.p5js.org//static/media/11.6e5d0113.png","En to Oto.,<em>nasana</em>"
"https://showcase.p5js.org/#/2020-All/project-12/","https://showcase.p5js.org//static/media/12.93e9e6b0.png","Trees of Translation,<em>Baltazar Pérez</em>"
"https://showcase.p5js.org/#/2020-All/project-13/","https://showcase.p5js.org//static/media/13.9c8821a4.png","Justice in COVID-19,<em>Kosuke Murakami</em>"
"https://showcase.p5js.org/#/2020-All/project-14/","https://showcase.p5js.org//static/media/14.c1328f15.gif","lissajous-animated,<em>Casey Labrack</em>"
"https://showcase.p5js.org/#/2020-All/project-15/","https://showcase.p5js.org//static/media/15.20bde226.png","Generative Identity,<em>Malay Vasa</em>"
"https://showcase.p5js.org/#/2020-All/project-16/","https://showcase.p5js.org//static/media/16.115cb70d.png","36 Days of Type x p5.js,<em>Gian Italiano</em>"
"https://showcase.p5js.org/#/2020-All/project-17/","https://showcase.p5js.org//static/media/17.b439687f.png","Room/Me,<em>Kat Zhang</em>"
"https://showcase.p5js.org/#/2020-All/project-18/","https://showcase.p5js.org//static/media/18.f1008fc5.png","What's Up In The Gut?,<em>Olga Khvan, Rene Goldfarb-Ilyashov, Rachel DeNoble, Rui Song</em>"
"https://showcase.p5js.org/#/2020-All/project-19/","https://showcase.p5js.org//static/media/19.d871ad7f.png","Singing Buddy,<em>Lisha P. , Prince S.A.</em>"
"https://showcase.p5js.org/#/2020-All/project-20/","https://showcase.p5js.org//static/media/20.3bf36434.png","Graphic Beats,<em>Naoki Kanazawa</em>"
"https://showcase.p5js.org/#/2020-All/project-21/","https://showcase.p5js.org//static/media/21.c938ee0a.png","ModalFlow,<em>Baltazar Pérez</em>"
"https://showcase.p5js.org/#/2020-All/project-22/","https://showcase.p5js.org//static/media/22.02754b6f.png","Music Within,<em>Yiting Liu</em>"
"https://showcase.p5js.org/#/2020-All/project-23/","https://showcase.p5js.org//static/media/23.745922fb.png","Common Denominator,<em>Max</em>"
"https://showcase.p5js.org/#/2020-All/project-24/","https://showcase.p5js.org//static/media/24.d42005e5.png","Album Motion Art,<em>Sanjana Padmanabhan</em>"
"https://showcase.p5js.org/#/2020-All/project-25/","https://showcase.p5js.org//static/media/25.3991c7ac.png","Audio Visualizers,<em>Samantha Ruiz</em>"
"https://showcase.p5js.org/#/2020-All/project-26/","https://showcase.p5js.org//static/media/26.d2d9b382.png","Farm Beats,<em>Cynthia Cheng</em>"
"https://showcase.p5js.org/#/2020-All/project-27/","https://showcase.p5js.org//static/media/27.78e682f6.png","COVID-19 Sim,<em>Shirling, Sriya, &amp; Syalomee</em>"
"https://showcase.p5js.org/#/2020-All/project-28/","https://showcase.p5js.org//static/media/28.5519b2b3.png","Fauna,<em>Ryan Joseph</em>"
